rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,match_confidence_explanation,identity_decision,identity_decision_explanation,review_evidence,merged_openalex_ids,raw_openalex_profile_count,works_count_method,exact_match_papers,initial_match_papers
4430,A5101603815,Yan Wang,Yan Wang,1,12,8.33,2022,2022,1.0,https://orcid.org/0000-0002-6165-3609,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101603815,1,Profile count,1,0
4431,A5102867906,Yan Wang,Yan Wang,1,15,6.67,2024,2024,2.0,https://orcid.org/0000-0003-1765-7490,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5102867906,1,Profile count,1,0
4432,A5106403837,Yan Wang,Yan Wang,1,80,1.25,2024,2024,3.0,https://orcid.org/0009-0003-2392-7108,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5106403837,1,Profile count,1,0
4433,A5110377895,Yan Wang,Yan Wang,1,49,2.04,2025,2025,7.0,https://orcid.org/0009-0003-4790-1316,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5110377895,1,Profile count,1,0
4434,A5114889239,Yan Wang,Yan Wang,1,4,25.0,2023,2023,1.0,https://orcid.org/0000-0002-2616-5570,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5114889239,1,Profile count,1,0
4435,A5115591660,Yan Wang,Yan Wang,1,546,0.18,2024,2024,3.0,https://orcid.org/0000-0001-6111-5379,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5115591660,1,Profile count,1,0
4436,A5115695450,Yan Wang,Yan Wang,1,411,0.24,2023,2023,2.0,https://orcid.org/0000-0001-5231-275x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5115695450,1,Profile count,1,0
4437,A5115695483,Yan Wang,Yan Wang,1,1100,0.09,2021,2021,2.0,https://orcid.org/0000-0002-1743-6383,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5115695483,1,Profile count,1,0
4438,A5115695550,Yan Wang,Yan Wang,1,527,0.19,2025,2025,7.0,https://orcid.org/0009-0002-2584-9337,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5115695550,1,Profile count,1,0
4439,A5119013751,Yan Wang,Yan Wang,1,394,0.25,2011,2011,0.0,https://orcid.org/0009-0004-7668-1129,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5119013751,1,Profile count,1,0
4440,A5003871909,Yan Zhang,Yan Zhang,1,1,100.0,2023,2023,1.0,https://orcid.org/0000-0003-3480-7526,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5003871909,1,Profile count,1,0
4441,A5006284156,Yan Zhang,Yan Zhang,1,1,100.0,2023,2023,1.0,https://orcid.org/0000-0001-7328-3919,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5006284156,1,Profile count,1,0
4442,A5020354230,Yan Zhang,Yan Zhang,1,1,100.0,2023,2023,1.0,https://orcid.org/0000-0002-9501-7897,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5020354230,1,Profile count,1,0
4443,A5026349477,Yan Zhang,Yan Zhang,1,2,50.0,2023,2023,1.0,https://orcid.org/0000-0003-3258-615x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5026349477,1,Profile count,1,0
4444,A5032618552,Yan Zhang,Yan Zhang,1,17,5.88,2023,2023,1.0,https://orcid.org/0000-0002-7295-5186,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5032618552,1,Profile count,1,0
4445,A5039466818,Yan Zhang,Yan Zhang,1,1,100.0,2023,2023,1.0,https://orcid.org/0000-0002-3806-817x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5039466818,1,Profile count,1,0
4446,A5043543895,Yan Zhang,Yan Zhang,1,2,50.0,2023,2023,1.0,https://orcid.org/0000-0001-5707-8069,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5043543895,1,Profile count,1,0
4447,A5054593886,Yan Zhang,Yan Zhang,1,1,100.0,2023,2023,1.0,https://orcid.org/0000-0002-9020-4845,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5054593886,1,Profile count,1,0
4448,A5058789387,Yan Zhang,Yan Zhang,1,20,5.0,2011,2011,0.0,https://orcid.org/0000-0003-3034-6734,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5058789387,1,Profile count,1,0
4449,A5065929099,Yan Zhang,Yan Zhang,1,2,50.0,2023,2023,1.0,https://orcid.org/0000-0002-4411-0071,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5065929099,1,Profile count,1,0
4450,A5083836939,Yan Zhang,Yan Zhang,1,27,3.7,2023,2023,1.0,https://orcid.org/0000-0001-6381-8297,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5083836939,1,Profile count,1,0
4451,A5090162145,Yan Zhang,Yan Zhang,1,3,33.33,2023,2023,1.0,https://orcid.org/0000-0001-7633-7193,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5090162145,1,Profile count,1,0
4452,A5091665906,Yan Zhang,Yan Zhang,1,17,5.88,2023,2023,1.0,https://orcid.org/0000-0002-2523-1003,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5091665906,1,Profile count,1,0
4453,A5100456152,Yan Zhang,Yan Zhang,1,30,3.33,2021,2021,3.0,https://orcid.org/0000-0001-8102-6031,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456152,1,Profile count,1,0
4454,A5100456165,Yan Zhang,Yan Zhang,1,281,0.36,2025,2025,6.0,https://orcid.org/0000-0001-9126-4922,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456165,1,Profile count,1,0
4455,A5100456175,Yan Zhang,Yan Zhang,1,37,2.7,2023,2023,1.0,https://orcid.org/0000-0001-9711-006x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456175,1,Profile count,1,0
4456,A5100456180,Yan Zhang,Yan Zhang,1,310,0.32,2024,2024,1.0,https://orcid.org/0000-0001-9914-1302,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456180,1,Profile count,1,0
4457,A5100456193,Yan Zhang,Yan Zhang,1,127,0.79,2020,2020,1.0,https://orcid.org/0000-0002-0704-7421,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456193,1,Profile count,1,0
4458,A5100456195,Yan Zhang,Yan Zhang,1,43,2.33,2022,2022,4.0,https://orcid.org/0000-0002-1011-6184,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456195,1,Profile count,1,0
4459,A5100456245,Yan Zhang,Yan Zhang,1,176,0.57,2025,2025,10.0,https://orcid.org/0000-0002-4342-9742,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456245,1,Profile count,1,0
4460,A5100456258,Yan Zhang,Yan Zhang,1,65,1.54,2023,2023,1.0,https://orcid.org/0000-0002-5026-7446,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456258,1,Profile count,1,0
4461,A5100456287,Yan Zhang,Yan Zhang,1,44,2.27,2023,2023,6.0,https://orcid.org/0000-0002-6691-0117,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456287,1,Profile count,1,0
4462,A5100456297,Yan Zhang,Yan Zhang,1,377,0.27,2022,2022,8.0,https://orcid.org/0000-0002-7017-5186,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456297,1,Profile count,1,0
4463,A5100456312,Yan Zhang,Yan Zhang,1,4,25.0,2022,2022,4.0,https://orcid.org/0000-0002-7929-8369,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456312,1,Profile count,1,0
4464,A5100456327,Yan Zhang,Yan Zhang,1,1468,0.07,2024,2024,1.0,https://orcid.org/0000-0002-8561-5092,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456327,1,Profile count,1,0
4465,A5100456367,Yan Zhang,Yan Zhang,1,47,2.13,2026,2026,9.0,https://orcid.org/0000-0003-0790-913x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456367,1,Profile count,1,0
4466,A5100456393,Yan Zhang,Yan Zhang,1,351,0.28,2022,2022,4.0,https://orcid.org/0000-0003-2189-0244,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456393,1,Profile count,1,0
4467,A5100456445,Yan Zhang,Yan Zhang,1,189,0.53,2023,2023,1.0,https://orcid.org/0000-0003-4647-4853,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456445,1,Profile count,1,0
4468,A5100585858,Yan Zhang,Yan Zhang,1,100,1.0,2011,2011,0.0,https://orcid.org/0000-0001-7431-5097,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100585858,1,Profile count,1,0
4469,A5100617810,Yan Zhang,Yan Zhang,1,31,3.23,2024,2024,4.0,https://orcid.org/0000-0001-7798-531x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100617810,1,Profile count,1,0
4470,A5100641575,Yan Zhang,Yan Zhang,1,284,0.35,2024,2024,0.0,https://orcid.org/0000-0003-3957-8312,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100641575,1,Profile count,1,0
4471,A5100735570,Yan Zhang,Yan Zhang,1,353,0.28,2023,2023,3.0,https://orcid.org/0000-0003-0107-1014,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100735570,1,Profile count,1,0
4472,A5100754828,Yan Zhang,Yan Zhang,1,49,2.04,2022,2022,5.0,https://orcid.org/0000-0001-8691-1267,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100754828,1,Profile count,1,0
4473,A5100754832,Yan Zhang,Yan Zhang,1,208,0.48,2023,2023,1.0,https://orcid.org/0000-0003-0378-2194,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100754832,1,Profile count,1,0
4474,A5101575178,Yan Zhang,Yan Zhang,1,64,1.56,2020,2020,2.0,https://orcid.org/0000-0002-4989-8240,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101575178,1,Profile count,1,0
4475,A5101627722,Yan Zhang,Yan Zhang,1,68,1.47,2011,2011,0.0,https://orcid.org/0000-0002-2131-3626,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101627722,1,Profile count,1,0
4476,A5101703841,Yan Zhang,Yan Zhang,1,419,0.24,2010,2010,0.0,https://orcid.org/0000-0001-6197-7008,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101703841,1,Profile count,1,0
4477,A5101718578,Yan Zhang,Yan Zhang,1,16,6.25,2019,2019,2.0,https://orcid.org/0000-0002-7544-1295,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101718578,1,Profile count,1,0
4478,A5101983417,Yan Zhang,Yan Zhang,1,12,8.33,2011,2011,0.0,https://orcid.org/0000-0002-5191-8597,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101983417,1,Profile count,1,0
4479,A5104080732,Yan Zhang,Yan Zhang,1,25,4.0,2011,2011,0.0,https://orcid.org/0009-0009-3404-6780,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5104080732,1,Profile count,1,0
4480,A5112658615,Yan Zhang,Yan Zhang,1,45,2.22,2022,2022,2.0,https://orcid.org/0000-0002-7989-4822,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5112658615,1,Profile count,1,0
4481,A5042262850,Yang Jing,Jing Yang,1,2,50.0,2023,2023,1.0,,Probable,"Probable confidence: one paper matches the full RWD name, but there is no ORCID or second paper to confirm it.",Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5042262850,1,Profile count,1,0
4482,A5072215133,Yang Jing,Jing Yang,1,61,1.64,2024,2024,2.0,https://orcid.org/0000-0003-3679-1433,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5072215133,1,Profile count,1,0
4483,A5022668271,Yang Li,Yang Li,1,2,50.0,2023,2023,1.0,https://orcid.org/0000-0002-3670-5630,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5022668271,1,Profile count,1,0
4484,A5030823415,Yang Li,Yang Li,1,136,0.74,2021,2021,2.0,https://orcid.org/0000-0003-1634-2470,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5030823415,1,Profile count,1,0
4485,A5035071840,Yang Li,Yang Li,1,4,25.0,2023,2023,1.0,https://orcid.org/0000-0001-5088-7015,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5035071840,1,Profile count,1,0
4486,A5049507932,Yang Li,Yang Li,1,2,50.0,2023,2023,1.0,https://orcid.org/0000-0001-8967-7058,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5049507932,1,Profile count,1,0
4487,A5052157653,Yang Li,Yang Li,1,1,100.0,2023,2023,1.0,https://orcid.org/0000-0002-2742-2380,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5052157653,1,Profile count,1,0
4488,A5057237309,Yang Li,Yang Li,1,1,100.0,2023,2023,1.0,https://orcid.org/0000-0003-3698-0824,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5057237309,1,Profile count,1,0
4489,A5085409183,Yang Li,Yang Li,1,4,25.0,2023,2023,1.0,https://orcid.org/0000-0001-5340-6475,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5085409183,1,Profile count,1,0
4490,A5088664461,Yang Li,Yang Li,1,31,3.23,2026,2026,2.0,https://orcid.org/0000-0003-3964-4383,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5088664461,1,Profile count,1,0
4491,A5100373944,Yang Li,Yang Li,1,26,3.85,2021,2021,4.0,https://orcid.org/0000-0001-8566-2895,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100373944,1,Profile count,1,0
4492,A5100421258,Yang Li,Yang Li,1,87,1.15,2023,2023,1.0,https://orcid.org/0000-0001-5557-021x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421258,1,Profile count,1,0
4493,A5100421277,Yang Li,Yang Li,1,50,2.0,2026,2026,2.0,https://orcid.org/0000-0001-6088-3608,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421277,1,Profile count,1,0
4494,A5100421314,Yang Li,Yang Li,1,456,0.22,2020,2020,1.0,https://orcid.org/0000-0001-7242-4687,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421314,1,Profile count,1,0
4495,A5100421320,Yang Li,Yang Li,1,137,0.73,2019,2019,1.0,https://orcid.org/0000-0001-7441-7712,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421320,1,Profile count,1,0
4496,A5100421326,Yang Li,Yang Li,1,40,2.5,2023,2023,1.0,https://orcid.org/0000-0001-7816-9445,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421326,1,Profile count,1,0
4497,A5100421336,Yang Li,Yang Li,1,219,0.46,2023,2023,2.0,https://orcid.org/0000-0001-8186-2435,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421336,1,Profile count,1,0
4498,A5100421472,Yang Li,Yang Li,1,657,0.15,2010,2010,0.0,https://orcid.org/0000-0002-2853-8916,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421472,1,Profile count,1,0
4499,A5100421479,Yang Li,Yang Li,1,205,0.49,2011,2011,0.0,https://orcid.org/0000-0002-2955-0298,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421479,1,Profile count,1,0
4500,A5100421485,Yang Li,Yang Li,1,23,4.35,2023,2023,3.0,https://orcid.org/0000-0002-3114-7502,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421485,1,Profile count,1,0
4501,A5100421521,Yang Li,Yang Li,1,173,0.58,2023,2023,3.0,https://orcid.org/0000-0002-4549-7087,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421521,1,Profile count,1,0
4502,A5100421604,Yang Li,Yang Li,1,120,0.83,2024,2024,8.0,https://orcid.org/0000-0002-6925-9200,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421604,1,Profile count,1,0
4503,A5100421612,Yang Li,Yang Li,1,463,0.22,2023,2023,1.0,https://orcid.org/0000-0002-7134-5685,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421612,1,Profile count,1,0
4504,A5100421619,Yang Li,Yang Li,1,88,1.14,2019,2019,1.0,https://orcid.org/0000-0002-7380-1883,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421619,1,Profile count,1,0
4505,A5100421627,Yang Li,Yang Li,1,163,0.61,2024,2024,3.0,https://orcid.org/0000-0002-7677-9028,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421627,1,Profile count,1,0
4506,A5100421656,Yang Li,Yang Li,1,138,0.72,2025,2025,0.0,https://orcid.org/0000-0002-8923-6364,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421656,1,Profile count,1,0
4507,A5100421668,Yang Li,Yang Li,1,47,2.13,2009,2009,0.0,https://orcid.org/0000-0002-9454-4660,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421668,1,Profile count,1,0
4508,A5100421672,Yang Li,Yang Li,1,737,0.14,2020,2020,0.0,https://orcid.org/0000-0002-9544-5840,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421672,1,Profile count,1,0
4509,A5100421770,Yang Li,Yang Li,1,173,0.58,2023,2023,1.0,https://orcid.org/0000-0003-2845-5739,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421770,1,Profile count,1,0
4510,A5100421779,Yang Li,Yang Li,1,41,2.44,2019,2019,0.0,https://orcid.org/0000-0003-3200-9512,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421779,1,Profile count,1,0
4511,A5100421808,Yang Li,Yang Li,1,59,1.69,2022,2022,2.0,https://orcid.org/0000-0003-4308-6716,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421808,1,Profile count,1,0
